"","lon","lat","x_utm","y_utm","SAND","SILT","CLAY","USDA_texture"
"13009",73.6135850091491,31.318806383518,939188.294210175,3474138.12992954,36.3866564316535,34.973563025966,28.6397805423806,"ClLo"
"13010",73.6162039725528,31.3187120447587,939438.294210175,3474138.12992954,36.7129217596085,34.7606046839716,28.5264735564198,"ClLo"
"13011",73.618822923644,31.3186176528308,939688.294210175,3474138.12992954,36.9893211614739,34.5904048474808,28.4202739910453,"ClLo"
"13012",73.621441862416,31.3185232077353,939938.294210175,3474138.12992954,37.2160158535704,34.4624933552981,28.3214907911315,"ClLo"
"13013",73.6240607888618,31.3184287094729,940188.294210175,3474138.12992954,37.3946282928225,34.3752122172081,28.2301594899694,"ClLo"
"13014",73.6266797029746,31.3183341580445,940438.294210175,3474138.12992954,37.5279882879573,34.3259219736573,28.1460897383854,"ClLo"
"13015",73.6292986047475,31.3182395534511,940688.294210175,3474138.12992954,37.6198023828922,34.3112745529889,28.0689230641189,"ClLo"
"13016",73.6319174941736,31.3181448956936,940938.294210175,3474138.12992954,37.6743117154632,34.3274975641818,27.998190720355,"ClLo"
"13017",73.6345363712459,31.3180501847727,941188.294210175,3474138.12992954,37.6959871214456,34.3706485908175,27.9333642877369,"ClLo"
"13018",73.6371552359577,31.3179554206894,941438.294210175,3474138.12992954,37.6892867315014,34.4368177792759,27.8738954892227,"ClLo"
"13019",73.639774088302,31.3178606034446,941688.294210175,3474138.12992954,37.658481497333,34.5222737235212,27.8192447791458,"ClLo"
"13020",73.642392928272,31.3177657330391,941938.294210175,3474138.12992954,37.6075420397427,34.6235578820577,27.7689000781996,"ClLo"
"13021",73.6450117558607,31.3176708094739,942188.294210175,3474138.12992954,37.5400750871945,34.7375371922553,27.7223877205503,"ClLo"
"13022",73.6476305710613,31.3175758327497,942438.294210175,3474138.12992954,37.4592970321885,34.8614252782817,27.6792776895298,"ClLo"
"13023",73.6502493738669,31.3174808028676,942688.294210175,3474138.12992954,37.3680335248233,34.9927815583924,27.6391849167844,"ClLo"
"13024",73.6528681642706,31.3173857198283,942938.294210175,3474138.12992954,37.2687361422925,35.12949582453,27.6017680331776,"ClLo"
"13025",73.6554869422656,31.3172905836328,943188.294210175,3474138.12992954,37.1635093132296,35.2697640904526,27.5667265963178,"ClLo"
"13026",73.6581057078449,31.3171953942819,943438.294210175,3474138.12992954,37.0541425461702,35.4120599358382,27.5337975179916,"ClLo"
"13027",73.6607244610016,31.3171001517765,943688.294210175,3474138.12992954,36.9421445279271,35.5551042913406,27.5027511807323,"ClLo"
"13028",73.2049805922134,31.3351211697104,900188.294210175,3474388.12992954,39.7118477152376,36.7411202060939,23.5470320786685,"Lo"
"13029",73.2076014539012,31.335035128114,900438.294210175,3474388.12992954,39.8477040940902,36.579132374269,23.5731635316408,"Lo"
"13030",73.2102223043522,31.3349490332135,900688.294210175,3474388.12992954,39.9818324567675,36.4137706772626,23.6043968659699,"Lo"
"13031",73.2128431435593,31.3348628850096,900938.294210175,3474388.12992954,40.1136543595837,36.2454516143662,23.6408940260501,"Lo"
"13032",73.2154639715157,31.3347766835032,901188.294210175,3474388.12992954,40.2425849912045,36.074645909459,23.6827690993365,"Lo"
"13033",73.2180847882145,31.334690428695,901438.294210175,3474388.12992954,40.3680507894267,35.9018794451223,23.7300697654511,"Lo"
"13034",73.2207055936488,31.3346041205859,901688.294210175,3474388.12992954,40.4895118933858,35.7277346974688,23.7827534091454,"Lo"
"13035",73.2233263878116,31.3345177591766,901938.294210175,3474388.12992954,40.6064899578352,35.5528534323771,23.8406566097876,"Lo"
"13036",73.2259471706961,31.334431344468,902188.294210175,3474388.12992954,40.718601669489,35.3779416222095,23.9034567083015,"Lo"
"13037",73.2285679422952,31.3343448764608,902438.294210175,3474388.12992954,40.8255978816231,35.2037775478261,23.9706245705508,"Lo"
"13038",73.2311887026022,31.3342583551559,902688.294210175,3474388.12992954,40.9274073828602,35.0312235568009,24.0413690603389,"Lo"
"13039",73.23380945161,31.3341717805541,902938.294210175,3474388.12992954,41.0241825110733,34.8612404070082,24.1145770819185,"Lo"
